BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
21900 BURBANK BLVD,378817885275,,NOT COMPLIED,,,,,,,,,,,,,,91367,2018,,,,,,,,120,"50,000 to 99,999 sqft"
714 W OLYMPIC ST,481836838652,1058.1,COMPLIED,-12.2,-12.2,59.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",227411.0,Not Available,Not Available,1.0,100.0,Not Available,90015,2018,Office,72.4,157.4,4082.8,Not Available,Not Available,1925,002,"100,000+ sqft"
10537 MAGNOLIA BLVD,452435882724,,NOT COMPLIED,,,,,,,,,,,,,,91601,2018,,,,,,,,026,"20,000 to 49,999 sqft"
2055 N FIGUEROA ST,493663852866,561.2,COMPLIED,-37.3,-37.3,81.0,No,Not Available,Not Available,Home Depot,132535.0,Not Available,Not Available,1.0,100.0,Not Available,90065,2017,Retail Store,57.9,167.6,3605.6,Not Available,Not Available,2000,057,"100,000+ sqft"
5455 HOLLYWOOD BLVD,468363859623,1066.3,COMPLIED,53.8,53.8,Not Available,No,Not Available,Not Available,Hollywood at Western LP,120827.0,Not Available,Not Available,0.0,95.0,Not Available,90027,2017,Retail Store,116.4,365.4,Not Available,116.4,365.4,2008,BRK,"100,000+ sqft"
1300 S FIGUEROA ST,480539837043,256.3,COMPLIED,-1.3,-1.3,52.0,No,Not Available,Not Available,"Conservice, LLC",80494.0,Not Available,Not Available,1.0,100.0,Not Available,90015,2017,Multifamily Housing,49.0,105.1,2457.4,49.7,106.0,2004,023,"100,000+ sqft"
3425 E 1ST ST,502958835924,,NOT COMPLIED,,,,,,,,,,,,,,90063,2018,,,,,,,,043,"50,000 to 99,999 sqft"
15222 RAYEN ST,421408906889,79.4,COMPLIED,-22.1,-22.1,82.0,No,Not Available,Not Available,Unknown,30507.0,Not Available,Not Available,1.0,100.0,Not Available,91343,2018,Multifamily Housing,43.9,73.5,2275.6,45.0,74.6,1964,042,"20,000 to 49,999 sqft"
1224 BEVERWIL DR,440929842760,480.6,NOT COMPLIED,-14.3,-14.3,68.0,No,Not Available,Not Available,"Morning View Hotels BHI, LLC",104000.0,Not Available,Not Available,1.0,75.0,Not Available,90035,2018,Hotel,65.6,183.7,9195.8,62.9,176.0,1963,036,"50,000 to 99,999 sqft"
1 W CENTURY DR,436131843133,1738.0,COMPLIED,51.1,51.1,4.0,No,Not Available,Not Available,Related Management,505273.0,Not Available,Not Available,1.0,100.0,Not Available,90067,2017,Multifamily Housing,50.2,123.7,10653.6,50.4,122.2,2010,DWN,"100,000+ sqft"
13324 ESTRELLA AVE,475033790048,,NOT COMPLIED,,,,,,,,,,,,,,90248,2018,,,,,,,,013,"20,000 to 49,999 sqft"
1999 W ADAMS BLVD,468154834533,,NOT COMPLIED,,,,,,,,,,,,,,90018,2018,,,,,,,,005,"100,000+ sqft"
11500 ELDRIDGE AVE,446136924513,,NOT COMPLIED,,,,,,,,,,,,,,91342,2018,,,,,,,,016,"20,000 to 49,999 sqft"
1149 S BROADWAY ST,482791836625,2102.7,COMPLIED,-43.8,-43.8,89.0,No,02/26/2018,"2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",CBRE,547426.0,2259.3,4.13,1.0,100.0,Not Available,90015,2016,Office,52.6,151.7,2259.3,52.7,151.6,1969,900,"100,000+ sqft (CITY OWNED BUILDINGS)"
360 S BURNSIDE AVE,454751847575,174.8,COMPLIED,-58.5,-58.5,100.0,No,Not Available,Not Available,AUM,192306.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2016,Multifamily Housing,12.0,37.6,10640.4,12.0,37.6,1951,008,"100,000+ sqft"
9425 CANOGA AVE,380750911000,43.9,COMPLIED,-19.6,-19.6,62.0,No,Not Available,Not Available,Aerojet Rocketdyne,98786.0,Not Available,Not Available,1.0,100.0,Not Available,91311,2018,Non-Refrigerated Warehouse,6.3,17.7,985.9,6.3,17.7,1985,015,"100,000+ sqft"
8441 BALBOA BLVD,409559904546,,NOT COMPLIED,,,,,,,,,,,,,,91325,2018,,,,,,,,027,"20,000 to 49,999 sqft"
3353 W SAN FERNANDO RD,486252865891,288.9,COMPLIED,31.2,31.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,63306.0,0.0,0.0,1.0,80.0,Not Available,90065,2018,Police Station,68.9,163.8,955.5,68.7,162.9,2016,903,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
21201 W KITTRIDGE ST,T00000000119,1245.3,NOT COMPLIED,3.7,3.7,43.0,No,Not Available,Not Available,AUM,290578.0,Not Available,Not Available,1.0,95.0,Not Available,91303,2016,Multifamily Housing,66.2,140.3,15244.6,67.2,141.3,2010,031,"100,000+ sqft"
417 S HILL ST,485597840707,1274.8,COMPLIED,-12.1,-12.1,69.0,No,Not Available,Not Available,"Forest City Realty Trust, Inc.",575417.0,Not Available,Not Available,1.0,100.0,Not Available,90013,2016,Multifamily Housing,29.5,71.2,12332.4,29.5,71.0,1899,BRK,"100,000+ sqft"
1501 E 41ST ST,486598825751,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",11004.0,Not Available,Not Available,1.0,100.0,Not Available,90011,2016,Other - Recreation,Not Available,Not Available,380.8,Not Available,Not Available,2000,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
601 S SPRING ST,485440839234,243.5,COMPLIED,32.8,32.8,18.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",52337.0,Not Available,Not Available,1.0,100.0,Not Available,90014,2017,Hotel,72.4,157.4,939.6,Not Available,Not Available,1925,017,"50,000 to 99,999 sqft"
870 CRENSHAW BLVD,464405843377,36.4,COMPLIED,-69.1,-69.1,100.0,Yes,Not Available,Not Available,Martel Manor,30000.0,Not Available,Not Available,1.0,100.0,1313.2,90005,2018,Multifamily Housing,21.9,28.1,1313.2,21.9,28.0,1989,045,"20,000 to 49,999 sqft"
1711 N SPRING ST,492944847931,,NOT COMPLIED,,,,,,,,,,,,,,90012,2018,,,,,,,,028,"20,000 to 49,999 sqft"
11901 FOOTHILL BLVD,442082922960,,NOT COMPLIED,,,,,,,,,,,,,,91342,2018,,,,,,,,014,"20,000 to 49,999 sqft"
3035 W 15TH ST,467110839102,,NOT COMPLIED,,,,,,,,,,,,,,90019,2018,,,,,,,,009,"20,000 to 49,999 sqft"
21850 OXNARD ST,379088887917,2037.8,COMPLIED,-16.2,-16.2,68.0,No,Not Available,Not Available,Warner Center Marriott,387260.0,Not Available,Not Available,1.0,100.0,Not Available,91367,2017,Hotel,81.6,170.9,19025.2,83.9,171.6,1984,045,"100,000+ sqft"
8225 TOPANGA CANYON BLVD,378176902280,,NOT COMPLIED,,,,,,,,,,,,,,91311,2017,,,,,,,,017,"50,000 to 99,999 sqft"
16218 DEVONSHIRE ST,414921916190,1.3,COMPLIED,-99.5,-99.5,Not Available,No,Not Available,Not Available,"228th Street Associates, LP",24160.0,682.2,28.24,1.0,100.0,Not Available,91344,2018,Supermarket/Grocery Store,0.8,2.1,682.2,0.8,2.1,1961,005,"20,000 to 49,999 sqft"
13850 VICTORY BLVD,430076890500,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,RABIS INVESTMENTS LLC,23275.0,Not Available,Not Available,1.0,95.0,Not Available,91401,2018,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1972,076,"20,000 to 49,999 sqft"
3715 MOTOR AVE,438724830776,84.6,COMPLIED,1.1,1.1,48.0,No,Not Available,Not Available,"Lido Equities Group, Inc.",47548.0,Not Available,Not Available,1.0,100.0,Not Available,90034,2018,Multifamily Housing,28.0,58.9,1301.6,28.5,59.3,2004,040,"20,000 to 49,999 sqft"
11099 S LA CIENEGA BLVD,449071799192,631.6,COMPLIED,-10.7,-10.7,58.0,No,Not Available,Not Available,Prologis,221194.0,Not Available,Not Available,1.0,100.0,Not Available,90045,2018,Office,40.6,113.1,3975.9,40.6,113.1,1994,910,"100,000+ sqft"
5200 LANKERSHIM BLVD,T00000000486,553.7,COMPLIED,-33.4,-33.4,77.0,No,Not Available,Not Available,Academy Tower,161409.0,Not Available,Not Available,1.0,85.0,Not Available,91601,2018,Office,48.7,136.4,2805.1,48.2,135.1,1989,079,"100,000+ sqft"
12424 GLADSTONE AVE,437398930403,,NOT COMPLIED,,,,,,,,,,,,,,91342,2018,,,,,,,,065,"20,000 to 49,999 sqft"
1537 NORFOLK ST,500379844877,2121.8,COMPLIED,188.5,188.5,Not Available,No,Not Available,Not Available,University of Southern California,155926.0,14818.9,95.04,1.0,100.0,Not Available,90033,2017,Ambulatory Surgical Center,209.6,447.6,14818.9,209.6,447.6,1984,030,"100,000+ sqft"
21037 VANOWEN ST,382677893606,5.5,COMPLIED,-90.5,-90.5,100.0,No,Not Available,Not Available,"Van Villas, LLC",27097.0,Not Available,Not Available,1.0,100.0,Not Available,91303,2018,Multifamily Housing,2.9,8.1,0.0,2.9,8.1,1988,026,"20,000 to 49,999 sqft"
510 E 2ND ST,489723839456,71.9,COMPLIED,79.0,79.0,Not Available,No,Not Available,Not Available,Los Angeles Department of Water and Power,13500.0,Not Available,Not Available,1.0,100.0,Not Available,90012,2016,Laboratory,70.2,220.4,225.7,70.2,220.4,1973,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
5401 BEETHOVEN ST,433573814505,143.3,COMPLIED,-14.7,-14.7,66.0,No,Not Available,Not Available,Heidt Beethoven LLC,51431.0,Not Available,Not Available,1.0,100.0,Not Available,90066,2017,K-12 School,36.7,115.4,703.0,35.7,112.0,1970,007,"50,000 to 99,999 sqft"
401 S ORANGE GROVE AVE,453430847503,295.3,COMPLIED,20.1,20.1,22.0,No,Not Available,Not Available,AUM,65555.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2017,Multifamily Housing,79.8,108.1,1432.5,85.1,113.6,1951,010,"50,000 to 99,999 sqft"
3255 WILSHIRE BLVD,472863845147,488.9,COMPLIED,-44.3,-44.3,89.0,No,Not Available,Not Available,Jamison Services,206583.0,Not Available,Not Available,1.0,55.0,Not Available,90010,2018,Office,34.6,89.6,687.0,34.3,88.6,1976,020,"100,000+ sqft"
625 S SAN PEDRO ST,487087837721,205.1,COMPLIED,-20.7,-20.7,81.0,No,Not Available,Not Available,Skid Row Housing Trust,51230.0,Not Available,Not Available,1.0,100.0,Not Available,90014,2017,Multifamily Housing,64.4,121.3,2550.0,65.4,121.5,2006,017,"50,000 to 99,999 sqft"
6751 N LOUISE AVE,407359893038,39.1,COMPLIED,10.3,10.3,Not Available,No,Not Available,Not Available,ece_cola_gsd,7600.0,Not Available,Not Available,1.0,100.0,Not Available,91406,2017,Fire Station,79.1,170.2,329.0,85.9,172.4,1961,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
111 THE GROVE DR,T00000000151,,NOT COMPLIED,,,,,,,,,,,,,,90036,2017,,,,,,,,036,"100,000+ sqft"
14411 KITTRIDGE ST,426470892282,71.0,COMPLIED,-83.7,-83.7,Not Available,No,Not Available,Not Available,LA Apartments,67161.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2017,Multifamily Housing,19.9,20.9,3179.0,21.0,22.0,1971,036,"50,000 to 99,999 sqft"
679 GAYLEY AVE,425978846792,,NOT COMPLIED,,,,,,,,,,,,,,90024,2018,,,,,,,,023,"20,000 to 49,999 sqft"
9500 ZELZAH AVE,403640911727,567.2,COMPLIED,-30.9,-30.9,92.0,No,Not Available,Not Available,Meridian Pointe,237912.0,Not Available,Not Available,1.0,95.0,Not Available,91325,2016,Multifamily Housing,33.7,89.9,18251.7,Not Available,Not Available,1966,024,"100,000+ sqft"
401 S BURNSIDE AVE,455025846874,871.8,COMPLIED,15.8,15.8,27.0,No,Not Available,Not Available,AUM,192306.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2017,Multifamily Housing,80.2,109.3,12019.7,85.5,114.8,1951,009,"100,000+ sqft"
11939 ALBERS ST,442703884822,33.2,COMPLIED,-42.0,-42.0,98.0,No,Not Available,Not Available,"RPM Management, Inc",27656.0,Not Available,Not Available,1.0,100.0,Not Available,91607,2018,Multifamily Housing,17.1,47.8,1089.2,17.1,47.8,1961,026,"20,000 to 49,999 sqft"
4165 E CHEVY CHASE DR,480786871183,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10600.0,Not Available,Not Available,1.0,100.0,Not Available,90039,2016,Other - Recreation,Not Available,Not Available,1083.2,Not Available,Not Available,1980,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
6400 LAUREL CANYON BLVD,441852890699,406.1,COMPLIED,-8.5,-8.5,56.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",87277.0,Not Available,Not Available,1.0,100.0,Not Available,91606,2018,Office,72.4,157.4,1566.9,Not Available,Not Available,1984,057,"100,000+ sqft"
3043 GRAND VIEW BLVD,427110829522,,NOT COMPLIED,,,,,,,,,,,,,,90066,2018,,,,,,,,023,"20,000 to 49,999 sqft"
116 N WETHERLY DR,444043850156,,NOT COMPLIED,,,,,,,,,,,,,,90048,2018,,,,,,,,026,"20,000 to 49,999 sqft"
10901 WHIPPLE ST,450545876613,146.1,COMPLIED,-25.8,-25.8,89.0,No,Not Available,Not Available,Brody,77842.0,Not Available,Not Available,1.0,95.0,Not Available,91602,2018,Multifamily Housing,30.6,57.7,2514.2,30.9,58.0,2006,024,"50,000 to 99,999 sqft"
7501 N TYRONE AVE,426556898423,18.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles Department of Water and Power,188000.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2017,Parking,1.3,4.0,216.1,1.3,4.0,1990,910,"100,000+ sqft (CITY OWNED BUILDINGS)"
3324 CASTLE HEIGHTS AVE,440513833671,182.3,COMPLIED,-29.1,-29.1,92.0,No,Not Available,Not Available,"Conservice, LLC",74418.0,Not Available,Not Available,1.0,85.0,Not Available,90034,2018,Multifamily Housing,39.4,77.6,3221.9,39.4,77.6,1986,023,"100,000+ sqft"
1331 TORRANCE BLVD,470579765328,178.8,COMPLIED,-52.7,-52.7,87.0,No,Not Available,Not Available,Prologis,203000.0,Not Available,Not Available,1.0,100.0,Not Available,90501,2016,Distribution Center,11.6,36.5,7.6,11.6,36.5,1964,020,"100,000+ sqft"
19325 LONDELIUS ST,394045906569,,NOT COMPLIED,,,,,,,,,,,,,,91324,2017,,,,,,,,103,"50,000 to 99,999 sqft"
18615 BURBANK BLVD,398550885684,50.8,COMPLIED,-58.8,-58.8,Not Available,No,Not Available,Not Available,"Calabasas Village, LLC",25000.0,Not Available,Not Available,1.0,95.0,Not Available,91356,2018,Multifamily Housing,36.3,48.7,2569.4,37.4,49.7,1980,026,"20,000 to 49,999 sqft"
3915 W 7TH ST,467209844309,107.2,COMPLIED,56.6,56.6,3.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",29100.0,Not Available,Not Available,1.0,100.0,Not Available,90005,2018,Multifamily Housing,58.7,118.9,1843.8,Not Available,Not Available,1987,045,"20,000 to 49,999 sqft"
1328 S HOPE ST,481094836548,,NOT COMPLIED,,,,,,,,,,,,,,90015,2018,,,,,,,,031,"20,000 to 49,999 sqft"
712 N KINGS RD,449158853202,,NOT COMPLIED,,,,,,,,,,,,,,90069,2018,,,,,,,,008,"20,000 to 49,999 sqft"
1330 N GARDNER ST,454907857259,5.6,COMPLIED,-93.2,-93.2,Not Available,No,Not Available,Not Available,1330 Gardner LLC,27635.0,Not Available,Not Available,1.0,100.0,Not Available,90046,2018,Multifamily Housing,2.9,8.0,1231.6,2.9,8.0,1963,027,"20,000 to 49,999 sqft"
20803 DEARBORN ST,384473909430,,NOT COMPLIED,,,,,,,,,,,,,,91311,2018,,,,,,,,011,"20,000 to 49,999 sqft"
261 S KINGSLEY DR,469675847701,151.8,COMPLIED,-5.8,-5.8,54.0,No,Not Available,Not Available,Harvard Medical Center LLC,37567.0,726.8,19.35,1.0,100.0,Not Available,90004,2018,Medical Office,57.4,160.6,726.8,57.0,159.7,1965,030,"20,000 to 49,999 sqft"
2560 S BARRINGTON AVE,427613832811,,NOT COMPLIED,,,,,,,,,,,,,,90064,2018,,,,,,,,048,"20,000 to 49,999 sqft"
21150 DUMETZ RD,382661880074,175.2,COMPLIED,130.2,130.2,Not Available,No,Not Available,Not Available,Woodland Hills Country Club,27000.0,Not Available,Not Available,1.0,100.0,Not Available,91364,2018,Other - Recreation,92.1,257.9,1489.6,Not Available,Not Available,1960,002,"20,000 to 49,999 sqft"
400 S BERENDO ST,472666846926,,NOT COMPLIED,,,,,,,,,,,,,,90020,2018,,,,,,,,024,"50,000 to 99,999 sqft"
2118 E 7TH PL,492178834581,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,012,"20,000 to 49,999 sqft"
15022 VANOWEN ST,422364893185,79.0,COMPLIED,27.7,27.7,16.0,No,Not Available,Not Available,"Cirrus Financial Equities, LLC",23782.0,Not Available,Not Available,1.0,95.0,Not Available,91405,2018,Multifamily Housing,53.7,103.7,1794.7,Not Available,Not Available,1972,049,"20,000 to 49,999 sqft"
16000 SHERMAN WAY,415961895690,32.7,COMPLIED,-86.1,-86.1,100.0,No,Not Available,Not Available,LB Property Management,100461.0,4281.8,42.62,1.0,95.0,Not Available,91406,2016,Multifamily Housing,3.7,11.8,4281.8,Not Available,Not Available,1985,007,"100,000+ sqft"
5301 S CENTRAL AVE,483825820342,,NOT COMPLIED,,,,,,,,,,,,,,90011,2018,,,,,,,,033,"50,000 to 99,999 sqft"
13273 FIJI WAY,429316815202,363.2,NOT COMPLIED,-20.5,-20.5,87.0,No,Not Available,Not Available,AUM,164787.0,Not Available,Not Available,1.0,95.0,Not Available,90292,2016,Multifamily Housing,33.5,74.4,6149.7,34.4,75.3,2001,020,"100,000+ sqft"
2030 E 15TH ST,490485830218,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,059,"20,000 to 49,999 sqft"
10830 W PICO BLVD,432099837234,,NOT COMPLIED,,,,,,,,,,,,,,90064,2017,,,,,,,,002,"100,000+ sqft"
10648 W WOODBRIDGE ST,112217100455,,NOT COMPLIED,,,,,,,,,,,,,,91602,2017,,,,,,,,BRK,"50,000 to 99,999 sqft"
13055 W ARROYO ST,2942,,NOT COMPLIED,,,,,,,,,,,,,,91340,2018,,,,,,,,091,"50,000 to 99,999 sqft"
1355 S FLOWER ST,3899,,NOT COMPLIED,,,,,,,,,,,,,,90015,2018,,,,,,,,025,"50,000 to 99,999 sqft"
1825 SACRAMENTO ST,490463833661,128.5,COMPLIED,111.2,111.2,11.0,No,Not Available,Not Available,"United Melon Distributors, Inc.",27000.0,35.0,1.3,1.0,100.0,Not Available,90021,2018,Distribution Center,67.6,189.2,35.0,67.6,189.2,1912,009,"20,000 to 49,999 sqft"
430 S BROADWAY,485972840177,,NOT COMPLIED,,,,,,,,,,,,,,90013,2017,,,,,,,,008,"50,000 to 99,999 sqft"
8525 TOBIAS AVE,425075904846,62.4,COMPLIED,-89.6,-89.6,Not Available,No,Not Available,Not Available,Greystone Management Group INC,195032.0,Not Available,Not Available,1.0,95.0,Not Available,91402,2016,Multifamily Housing,4.2,13.2,12661.8,Not Available,Not Available,1985,051,"100,000+ sqft"
735 S ST ANDREWS PL,467363843809,,NOT COMPLIED,,,,,,,,,,,,,,90005,2018,,,,,,,,007,"20,000 to 49,999 sqft"
900 N VAN NESS AVE,565262197089,131.9,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Paramount Studios,303170.0,Not Available,Not Available,1.0,80.0,Not Available,90038,2017,Parking,165.7,520.4,854.1,165.7,520.4,1993,032,"100,000+ sqft"
15424 W SUNSET BLVD,401661840200,,NOT COMPLIED,,,,,,,,,,,,,,90272,2018,,,,,,,,017,"20,000 to 49,999 sqft"
555 GLENROCK AVE,425030846974,,NOT COMPLIED,,,,,,,,,,,,,,90024,2018,,,,,,,,900,"20,000 to 49,999 sqft"
19550 NORDHOFF ST,392531908224,262.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,HItchcock Commercial Properties,67796.0,Not Available,Not Available,1.0,100.0,Not Available,91324,2017,Automobile Dealership,51.1,160.4,1187.2,51.1,160.4,2015,062,"100,000+ sqft"
19050 SHERMAN WAY,395704895544,402.9,COMPLIED,10.0,10.0,34.0,No,Not Available,Not Available,Moss & Company,131170.0,Not Available,Not Available,1.0,95.0,Not Available,91335,2016,Multifamily Housing,49.0,94.5,5841.5,51.8,97.4,1974,017,"100,000+ sqft"
406 S RAMPART BLVD,476972845934,,NOT COMPLIED,,,,,,,,,,,,,,90057,2018,,,,,,,,011,"20,000 to 49,999 sqft"
5419 W SUNSET BLVD,468429858372,15873.9,NOT COMPLIED,14795.2,14795.2,Not Available,No,Not Available,Not Available,"5419 Sunset Properties, LLC",37811.0,412.2,10.9,1.0,90.0,Not Available,90027,2018,Performing Arts,5960.9,16683.7,412.2,5961.1,16683.9,1970,053,"20,000 to 49,999 sqft"
8900 ETON AVE,381953907341,57.0,COMPLIED,-17.9,-17.9,64.0,No,Not Available,Not Available,Schneider Electric,20572.0,Not Available,Not Available,1.0,90.0,Not Available,91304,2018,Office,39.3,110.1,431.0,38.5,107.8,2000,040,"20,000 to 49,999 sqft"
7616 FULTON AVE,433847898696,,NOT COMPLIED,,,,,,,,,,,,,,91605,2018,,,,,,,,004,"20,000 to 49,999 sqft"
10850 WILSHIRE BLVD,428050844196,1174.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,AVCO Center,155397.0,Not Available,Not Available,1.0,95.0,Not Available,90024,2017,Office,99.6,312.9,4294.6,99.6,312.9,1972,019,"100,000+ sqft"
14359 ADDISON ST,426635881459,,NOT COMPLIED,,,,,,,,,,,,,,91423,2018,,,,,,,,036,"20,000 to 49,999 sqft"
1709 W 8TH ST,478792841854,,NOT COMPLIED,,,,,,,,,,,,,,90017,2016,,,,,,,,044,"100,000+ sqft"
11030 HARTSOOK ST,449238882183,112.7,COMPLIED,-38.2,-38.2,97.0,No,Not Available,Not Available,"RealPage Utility Management, Inc.",78300.0,Not Available,Not Available,1.0,95.0,Not Available,91601,2018,Multifamily Housing,22.1,50.2,1755.7,22.1,50.2,1989,041,"50,000 to 99,999 sqft"
18300 W LEMARSH ST,400772915646,109.3,COMPLIED,319.3,319.3,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10720.0,Not Available,Not Available,1.0,100.0,Not Available,91325,2017,Other - Recreation,138.8,405.9,15338.1,135.1,380.4,1977,902,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
1410 W TEMPLE ST,483766846908,71.0,COMPLIED,12.0,12.0,Not Available,No,Not Available,Not Available,LOS ANGELES PUBLIC LIBRARY,17543.0,Not Available,Not Available,1.0,100.0,Not Available,90026,2016,Library,57.4,160.8,194.5,Not Available,Not Available,1997,901,"15,000 to 19,999 sqft (CITY OWNED BUILDING)"
18634 BURBANK BLVD,398529885453,0.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,BLUMAX PARTNERS,27325.0,Not Available,Not Available,1.0,90.0,Not Available,91356,2018,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1987,026,"20,000 to 49,999 sqft"
1665 MATEO ST,491081831359,32.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Universal Dyeing & Printing,60240.0,185.6,3.08,1.0,100.0,Not Available,90021,2018,Manufacturing/Industrial Plant,7.7,21.6,185.6,7.6,21.3,1987,030,"50,000 to 99,999 sqft"
6550 TOPANGA CANYON BLVD,378702892165,575.8,COMPLIED,-4.8,-4.8,53.0,No,Not Available,Not Available,Neiman Marcus,125875.0,1106.6,8.79,0.0,100.0,Not Available,91303,2017,Retail Store,60.3,189.4,1106.6,58.2,182.9,2007,030,"100,000+ sqft"
9575 LAUREL CANYON BLVD,435904911097,,NOT COMPLIED,,,,,,,,,,,,,,91331,2018,,,,,,,,023,"20,000 to 49,999 sqft"
634 S NORMANDIE AVE,470844845064,,NOT COMPLIED,,,,,,,,,,,,,,90005,2018,,,,,,,,001,"20,000 to 49,999 sqft"
5500 NEWCASTLE AVE,403284884927,122.1,COMPLIED,15.4,15.4,28.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",35218.0,Not Available,Not Available,2.0,100.0,Not Available,91316,2018,Multifamily Housing,58.3,98.4,1909.8,60.9,101.0,1969,006,"20,000 to 49,999 sqft"
5401 W 104TH ST,448108801638,89.7,COMPLIED,-15.9,-15.9,59.0,No,Not Available,Not Available,Kidder Matthews,25920.0,Not Available,Not Available,1.0,100.0,Not Available,90045,2018,Refrigerated Warehouse,49.3,136.9,313.7,47.6,131.8,1952,001,"20,000 to 49,999 sqft"
539 W ROSECRANS AVE,475485787033,,NOT COMPLIED,,,,,,,,,,,,,,90248,2018,,,,,,,,024,"50,000 to 99,999 sqft"
1338 E 6TH ST,489798836176,,NOT COMPLIED,,,,,,,,,,,,,,90021,2016,,,,,,,,003,"100,000+ sqft"
401 S HARVARD BLVD,469500846868,,NOT COMPLIED,,,,,,,,,,,,,,90020,2018,,,,,,,,025,"20,000 to 49,999 sqft"
10736 N LAUREL CANYON BLVD,429166919337,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",11327.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2018,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1992,907,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
21620 PLUMMER ST,380134911065,192.6,NOT COMPLIED,-69.0,-69.0,98.0,No,Not Available,Not Available,"Plummer Investors, LLC & YaYa Plummer, LLC",132000.0,Not Available,Not Available,1.0,90.0,Not Available,91311,2018,Office,20.7,58.0,2235.7,20.0,56.1,1985,042,"100,000+ sqft"
20630 PLUMMER ST,385336911052,,NOT COMPLIED,,,,,,,,,,,,,,91311,2018,,,,,,,,022,"20,000 to 49,999 sqft"
928 S WESTERN AVE,468161842592,1890.9,COMPLIED,159.3,159.3,Not Available,No,Not Available,Not Available,Koreatown Plaza,223467.0,Not Available,Not Available,1.0,100.0,Not Available,90006,2016,Enclosed Mall,119.7,319.2,12532.1,119.5,318.7,1988,022,"100,000+ sqft"
7077 ALVERN ST,447334813705,1497.1,COMPLIED,-7.4,-7.4,65.0,No,Not Available,Not Available,AUM,494235.0,Not Available,Not Available,8.0,95.0,Not Available,90045,2016,Multifamily Housing,47.8,95.4,23480.6,48.8,96.6,1987,001,"100,000+ sqft"
251 S MISSION RD,492726841097,,NOT COMPLIED,,,,,,,,,,,,,,90033,2018,,,,,,,,007,"20,000 to 49,999 sqft"
