BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
9229 SEPULVEDA BLVD,420140909364,0.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Genessy Management,143203.0,Not Available,Not Available,1.0,95.0,Not Available,91343,2018,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,2002,004,"100,000+ sqft"
870 W ADAMS BLVD,476276833516,136.1,COMPLIED,17.6,17.6,26.0,No,Not Available,Not Available,University of Southern California,56222.0,Not Available,Not Available,1.0,100.0,Not Available,90007,2018,Multifamily Housing,40.4,70.4,2007.8,40.5,70.5,1965,001,"20,000 to 49,999 sqft"
1616 N LA BREA AVE,14234,28.5,COMPLIED,-82.5,-82.5,100.0,No,Not Available,Not Available,La Brea Regency LLC,59000.0,2333.8,39.56,1.0,100.0,Not Available,90028,2018,Multifamily Housing,6.9,19.2,2333.8,6.9,19.2,2016,046,"50,000 to 99,999 sqft"
17431 ROSCOE BLVD,406514903699,,NOT COMPLIED,,,,,,,,,,,,,,91325,2018,,,,,,,,006,"20,000 to 49,999 sqft"
424 KELTON AVE,424339848081,191.3,COMPLIED,-4.7,-4.7,57.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",79203.0,Not Available,Not Available,3.0,100.0,Not Available,90024,2018,Multifamily Housing,40.3,70.0,4198.1,41.7,71.4,1985,027,"50,000 to 99,999 sqft"
15105 SHERMAN WAY,421887896067,90.1,COMPLIED,-12.0,-12.0,68.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",39464.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2018,Multifamily Housing,36.1,75.0,2092.3,36.6,75.6,1972,037,"20,000 to 49,999 sqft"
934 HEMLOCK ST,487981833660,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,043,"50,000 to 99,999 sqft"
1224 E 28TH ST,484896828015,,NOT COMPLIED,,,,,,,,,,,,,,90011,2018,,,,,,,,017,"20,000 to 49,999 sqft"
811 WILSHIRE BLVD,483455840595,1166.8,COMPLIED,-47.3,-47.3,91.0,No,05/19/2017,"2017, 2016","811 Wilshire, LLC",395003.0,Not Available,Not Available,1.0,75.0,Not Available,90017,2016,Office,41.8,111.5,Not Available,42.2,112.0,1960,023,"100,000+ sqft"
4715 S ALAMEDA ST,488532822539,100.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Sweet People Apparel, Inc.",65000.0,Not Available,Not Available,1.0,100.0,Not Available,90058,2017,Manufacturing/Industrial Plant,20.3,63.9,313.4,19.8,62.3,2007,011,"50,000 to 99,999 sqft"
